mechanic,replicate,time_to_fixation
MK+IE,95,4.0
MK+IE,96,6.0
MK+IE,97,9.0
MK+IE,98,7.0
MK+IE,99,11.0
MK+IE,100,5.0
MK+IE,101,7.0
MK+IE,102,6.0
MK+IE,103,7.0
MK+IE,104,6.0
MK+IE,105,5.0
MK+IE,106,11.0
MK+IE,107,6.0
MK+IE,108,7.0
MK+IE,109,
MK+IE,110,5.0
MK+IE,111,6.0
MK+IE,112,8.0
MK+IE,113,7.0
MK+IE,114,6.0
MK+IE,115,5.0
MK+IE,116,6.0
MK+IE,117,7.0
MK+IE,118,9.0
MK+IE,119,7.0
MK+IE,120,5.0
MK+IE,121,6.0
MK+IE,122,5.0
MK+IE,123,6.0
MK+IE,124,7.0
MK+IE,125,8.0
MK+IE,126,5.0
MK+IE,127,12.0
MK+IE,128,6.0
MK+IE,129,10.0
MK+IE,130,8.0
MK+IE,131,7.0
MK+IE,132,7.0
MK+IE,133,7.0
MK+IE,134,6.0
MK+IE,135,4.0
MK+IE,136,8.0
MK+IE,137,5.0
MK+IE,138,6.0
MK+IE,139,7.0
MK+IE,140,5.0
MK+IE,141,5.0
MK+IE,142,3.0
MK+IE,143,7.0
MK+IE,144,7.0
MK+IE,145,5.0
MK+IE,146,7.0
MK+IE,147,4.0
MK+IE,148,9.0
MK+IE,149,7.0
MK+IE,150,7.0
MK+IE,151,9.0
MK+IE,152,7.0
MK+IE,153,5.0
MK+IE,154,7.0
MK+IE,155,6.0
MK+IE,156,7.0
MK+IE,157,7.0
MK+IE,158,6.0
MK+IE,159,8.0
MK+IE,160,7.0
MK+IE,161,6.0
MK+IE,162,5.0
MK+IE,163,4.0
MK+IE,164,9.0
MK+IE,165,10.0
MK+IE,166,5.0
MK+IE,167,9.0
MK+IE,168,6.0
MK+IE,169,6.0
MK+IE,170,6.0
MK+IE,171,7.0
MK+IE,172,5.0
MK+IE,173,5.0
MK+IE,174,7.0
MK+IE,175,7.0
MK+IE,176,5.0
MK+IE,177,9.0
MK+IE,178,5.0
MK+IE,179,6.0
MK+IE,180,4.0
MK+IE,181,4.0
MK+IE,182,8.0
MK+IE,183,8.0
MK+IE,184,8.0
MK+IE,185,7.0
MK+IE,186,7.0
MK+IE,187,10.0
MK+IE,188,6.0
MK+IE,189,6.0
MK+IE,190,4.0
MK+IE,191,7.0
MK+IE,192,7.0
MK+IE,193,7.0
MK+IE,194,7.0
MK+IE,195,6.0
MK+IE,196,6.0
MK+IE,197,10.0
MK+IE,198,11.0
MK+IE,199,7.0
MK+ER,0,7.0
MK+ER,1,7.0
MK+ER,2,8.0
MK+ER,3,6.0
MK+ER,4,6.0
MK+ER,5,5.0
MK+ER,6,5.0
MK+ER,7,5.0
MK+ER,8,5.0
MK+ER,9,9.0
MK+ER,10,5.0
MK+ER,11,5.0
MK+ER,12,4.0
MK+ER,13,5.0
MK+ER,14,7.0
MK+ER,15,4.0
MK+ER,16,4.0
MK+ER,17,7.0
MK+ER,18,7.0
MK+ER,19,5.0
MK+ER,20,4.0
MK+ER,21,6.0
MK+ER,22,8.0
MK+ER,23,4.0
MK+ER,24,5.0
MK+ER,25,4.0
MK+ER,26,5.0
MK+ER,27,8.0
MK+ER,28,5.0
MK+ER,29,6.0
MK+ER,30,5.0
MK+ER,31,5.0
MK+ER,32,6.0
MK+ER,33,8.0
MK+ER,34,5.0
MK+ER,35,5.0
MK+ER,36,6.0
MK+ER,37,8.0
MK+ER,38,8.0
MK+ER,39,7.0
MK+ER,40,7.0
MK+ER,41,5.0
MK+ER,42,8.0
MK+ER,43,5.0
MK+ER,44,3.0
MK+ER,45,4.0
MK+ER,46,6.0
MK+ER,47,7.0
MK+ER,48,6.0
MK+ER,49,7.0
MK+ER,50,9.0
MK+ER,51,6.0
MK+ER,52,9.0
MK+ER,53,7.0
MK+ER,54,7.0
MK+ER,55,7.0
MK+ER,56,6.0
MK+ER,57,6.0
MK+ER,58,6.0
MK+ER,59,7.0
MK+ER,60,7.0
MK+ER,61,4.0
MK+ER,62,8.0
MK+ER,63,5.0
MK+ER,64,7.0
MK+ER,65,4.0
MK+ER,66,5.0
MK+ER,67,5.0
MK+ER,68,6.0
MK+ER,69,6.0
MK+ER,70,7.0
MK+ER,71,4.0
MK+ER,72,6.0
MK+ER,73,6.0
MK+ER,74,7.0
MK+ER,75,6.0
MK+ER,76,8.0
MK+ER,77,6.0
MK+ER,78,7.0
MK+ER,79,5.0
MK+ER,80,7.0
MK+ER,81,7.0
MK+ER,82,6.0
MK+ER,83,5.0
MK+ER,84,6.0
MK+ER,85,9.0
MK+ER,86,4.0
MK+ER,87,10.0
MK+ER,88,5.0
MK+ER,89,5.0
MK+ER,90,8.0
MK+ER,91,5.0
MK+ER,92,4.0
MK+ER,93,7.0
MK+ER,94,7.0
MK+ER,95,4.0
MK+ER,96,9.0
MK+ER,97,4.0
MK+ER,98,5.0
MK+ER,99,5.0
MK+ER,100,4.0
MK+ER,101,5.0
MK+ER,102,10.0
MK+ER,103,8.0
MK+ER,104,9.0
MK+ER,105,6.0
MK+ER,106,6.0
MK+ER,107,5.0
MK+ER,108,4.0
MK+ER,109,7.0
MK+ER,110,6.0
MK+ER,111,4.0
MK+ER,112,7.0
MK+ER,113,8.0
MK+ER,114,7.0
MK+ER,115,8.0
MK+ER,116,6.0
MK+ER,117,6.0
MK+ER,118,9.0
MK+ER,119,7.0
