mechanic,replicate,reached_fixation
CI+ER+IE,110,1
CI+ER+IE,111,1
CI+ER+IE,112,1
CI+ER+IE,113,1
CI+ER+IE,114,1
CI+ER+IE,115,1
CI+ER+IE,116,1
CI+ER+IE,117,1
CI+ER+IE,118,1
CI+ER+IE,119,1
CI+ER+IE,120,1
CI+ER+IE,121,1
CI+ER+IE,122,1
CI+ER+IE,123,1
CI+ER+IE,124,1
CI+ER+IE,125,1
CI+ER+IE,126,1
CI+ER+IE,127,1
CI+ER+IE,128,1
CI+ER+IE,129,1
CI+ER+IE,130,1
CI+ER+IE,131,1
CI+ER+IE,132,1
CI+ER+IE,133,1
CI+ER+IE,134,1
CI+ER+IE,135,1
CI+ER+IE,136,1
CI+ER+IE,137,1
CI+ER+IE,138,1
CI+ER+IE,139,1
CI+ER+IE,140,1
CI+ER+IE,141,1
CI+ER+IE,142,1
CI+ER+IE,143,1
CI+ER+IE,144,1
CI+ER+IE,145,1
CI+ER+IE,146,1
CI+ER+IE,147,1
CI+ER+IE,148,1
CI+ER+IE,149,1
CI+ER+IE,150,1
CI+ER+IE,151,1
CI+ER+IE,152,1
CI+ER+IE,153,1
CI+ER+IE,154,1
CI+ER+IE,155,1
CI+ER+IE,156,1
CI+ER+IE,157,1
CI+ER+IE,158,1
CI+ER+IE,159,1
CI+ER+IE,160,1
CI+ER+IE,161,1
CI+ER+IE,162,1
CI+ER+IE,163,1
CI+ER+IE,164,1
CI+ER+IE,165,1
CI+ER+IE,166,1
CI+ER+IE,167,1
CI+ER+IE,168,1
CI+ER+IE,169,1
CI+ER+IE,170,1
CI+ER+IE,171,1
CI+ER+IE,172,1
CI+ER+IE,173,1
CI+ER+IE,174,1
CI+ER+IE,175,1
CI+ER+IE,176,1
CI+ER+IE,177,1
CI+ER+IE,178,1
CI+ER+IE,179,1
CI+ER+IE,180,1
CI+ER+IE,181,1
CI+ER+IE,182,1
CI+ER+IE,183,1
CI+ER+IE,184,1
CI+ER+IE,185,1
CI+ER+IE,186,1
CI+ER+IE,187,1
CI+ER+IE,188,1
CI+ER+IE,189,1
CI+ER+IE,190,1
CI+ER+IE,191,1
CI+ER+IE,192,1
CI+ER+IE,193,1
CI+ER+IE,194,1
