mechanic,replicate,final_infection_rate
MK+IE,181,1.0
MK+IE,182,1.0
MK+IE,183,1.0
MK+IE,184,1.0
MK+IE,185,1.0
MK+IE,186,1.0
MK+IE,187,1.0
MK+IE,188,1.0
MK+IE,189,1.0
MK+IE,190,1.0
MK+IE,191,1.0
MK+IE,192,1.0
MK+IE,193,1.0
MK+IE,194,1.0
MK+IE,195,1.0
MK+IE,196,1.0
MK+IE,197,1.0
MK+IE,198,1.0
MK+IE,199,1.0
MK+ER,0,1.0
MK+ER,1,1.0
MK+ER,2,1.0
MK+ER,3,1.0
MK+ER,4,1.0
MK+ER,5,1.0
MK+ER,6,1.0
MK+ER,7,1.0
MK+ER,8,1.0
MK+ER,9,1.0
MK+ER,10,1.0
MK+ER,11,1.0
MK+ER,12,1.0
MK+ER,13,1.0
MK+ER,14,1.0
MK+ER,15,1.0
MK+ER,16,1.0
MK+ER,17,1.0
MK+ER,18,1.0
MK+ER,19,1.0
MK+ER,20,1.0
MK+ER,21,1.0
MK+ER,22,1.0
MK+ER,23,1.0
MK+ER,24,1.0
MK+ER,25,1.0
MK+ER,26,1.0
MK+ER,27,1.0
MK+ER,28,1.0
MK+ER,29,1.0
MK+ER,30,1.0
MK+ER,31,1.0
MK+ER,32,1.0
MK+ER,33,1.0
MK+ER,34,1.0
MK+ER,35,1.0
MK+ER,36,1.0
MK+ER,37,1.0
MK+ER,38,1.0
MK+ER,39,1.0
MK+ER,40,1.0
MK+ER,41,1.0
MK+ER,42,1.0
MK+ER,43,1.0
MK+ER,44,1.0
MK+ER,45,1.0
MK+ER,46,1.0
MK+ER,47,1.0
MK+ER,48,1.0
MK+ER,49,1.0
MK+ER,50,1.0
MK+ER,51,1.0
MK+ER,52,1.0
MK+ER,53,1.0
MK+ER,54,1.0
MK+ER,55,1.0
MK+ER,56,1.0
MK+ER,57,1.0
MK+ER,58,1.0
MK+ER,59,1.0
MK+ER,60,1.0
MK+ER,61,1.0
MK+ER,62,1.0
MK+ER,63,1.0
MK+ER,64,1.0
MK+ER,65,1.0
MK+ER,66,1.0
MK+ER,67,1.0
MK+ER,68,1.0
MK+ER,69,1.0
MK+ER,70,1.0
