mechanic,replicate,final_infected_count
MK+IE,134,17911
MK+IE,135,18209
MK+IE,136,17453
MK+IE,137,18022
MK+IE,138,17633
MK+IE,139,15913
MK+IE,140,18587
MK+IE,141,17008
MK+IE,142,17087
MK+IE,143,17444
MK+IE,144,17917
MK+IE,145,16296
MK+IE,146,18397
MK+IE,147,17890
MK+IE,148,18281
MK+IE,149,18430
MK+IE,150,16621
MK+IE,151,16928
MK+IE,152,17400
MK+IE,153,15744
MK+IE,154,18019
MK+IE,155,17801
MK+IE,156,16371
MK+IE,157,17251
MK+IE,158,18015
MK+IE,159,16892
MK+IE,160,17446
MK+IE,161,16936
MK+IE,162,15887
MK+IE,163,18703
MK+IE,164,17097
MK+IE,165,18149
MK+IE,166,17635
MK+IE,167,18534
MK+IE,168,17062
MK+IE,169,17866
MK+IE,170,17024
MK+IE,171,17971
MK+IE,172,17326
MK+IE,173,15933
MK+IE,174,16040
MK+IE,175,16969
MK+IE,176,17898
MK+IE,177,16744
MK+IE,178,15123
MK+IE,179,18428
MK+IE,180,16289
MK+IE,181,17949
MK+IE,182,17606
MK+IE,183,16225
MK+IE,184,16757
MK+IE,185,16567
MK+IE,186,17769
MK+IE,187,18063
MK+IE,188,17736
MK+IE,189,16055
MK+IE,190,16982
MK+IE,191,17011
MK+IE,192,17790
MK+IE,193,17277
MK+IE,194,17682
MK+IE,195,17358
MK+IE,196,17113
MK+IE,197,18116
MK+IE,198,17364
MK+IE,199,17689
MK+ER,0,17010
MK+ER,1,17898
MK+ER,2,16180
MK+ER,3,17364
MK+ER,4,16651
MK+ER,5,16212
MK+ER,6,16368
MK+ER,7,18689
MK+ER,8,15324
MK+ER,9,14466
MK+ER,10,16760
MK+ER,11,16951
MK+ER,12,15753
MK+ER,13,16324
MK+ER,14,16440
MK+ER,15,16739
MK+ER,16,16161
MK+ER,17,15927
MK+ER,18,17620
MK+ER,19,15661
MK+ER,20,16811
MK+ER,21,17432
MK+ER,22,17262
MK+ER,23,16809
MK+ER,24,17302
MK+ER,25,14764
MK+ER,26,18082
MK+ER,27,16016
MK+ER,28,18025
MK+ER,29,16354
MK+ER,30,16783
MK+ER,31,16391
MK+ER,32,17081
MK+ER,33,16156
MK+ER,34,16280
MK+ER,35,16818
MK+ER,36,15677
MK+ER,37,15895
MK+ER,38,18322
MK+ER,39,17567
MK+ER,40,15913
MK+ER,41,17015
MK+ER,42,18030
MK+ER,43,16552
MK+ER,44,15752
MK+ER,45,16706
MK+ER,46,16311
MK+ER,47,17135
MK+ER,48,17299
MK+ER,49,16176
MK+ER,50,16852
MK+ER,51,15914
MK+ER,52,17323
MK+ER,53,17136
MK+ER,54,17534
MK+ER,55,17172
MK+ER,56,16679
MK+ER,57,17112
MK+ER,58,17366
MK+ER,59,16537
MK+ER,60,18061
MK+ER,61,17871
MK+ER,62,16282
MK+ER,63,17505
MK+ER,64,14572
MK+ER,65,17120
MK+ER,66,15446
MK+ER,67,16872
MK+ER,68,17476
MK+ER,69,16536
MK+ER,70,18049
MK+ER,71,16567
MK+ER,72,17216
MK+ER,73,16287
MK+ER,74,15907
MK+ER,75,16254
MK+ER,76,17550
MK+ER,77,16397
MK+ER,78,13439
MK+ER,79,17837
MK+ER,80,16350
MK+ER,81,16366
MK+ER,82,16545
MK+ER,83,17893
MK+ER,84,17027
MK+ER,85,13160
MK+ER,86,17660
MK+ER,87,17062
MK+ER,88,16176
MK+ER,89,16857
MK+ER,90,17204
MK+ER,91,17683
MK+ER,92,16140
MK+ER,93,16038
MK+ER,94,16469
MK+ER,95,17412
MK+ER,96,17269
MK+ER,97,16575
MK+ER,98,15282
MK+ER,99,15996
MK+ER,100,16615
MK+ER,101,17469
MK+ER,102,17103
MK+ER,103,16922
MK+ER,104,17583
MK+ER,105,16534
MK+ER,106,17647
MK+ER,107,17174
MK+ER,108,17877
MK+ER,109,17741
MK+ER,110,18201
MK+ER,111,17138
MK+ER,112,16882
MK+ER,113,17127
MK+ER,114,16121
MK+ER,115,16933
MK+ER,116,16810
MK+ER,117,14745
MK+ER,118,15838
MK+ER,119,17284
MK+ER,120,16961
MK+ER,121,16448
MK+ER,122,17788
MK+ER,123,17646
MK+ER,124,17057
MK+ER,125,16909
MK+ER,126,16968
MK+ER,127,16602
MK+ER,128,15729
MK+ER,129,16552
MK+ER,130,17666
MK+ER,131,16799
MK+ER,132,15304
MK+ER,133,17974
MK+ER,134,16967
MK+ER,135,18754
MK+ER,136,16549
MK+ER,137,17448
MK+ER,138,16434
MK+ER,139,16160
MK+ER,140,17095
MK+ER,141,14463
MK+ER,142,18318
MK+ER,143,17862
MK+ER,144,16506
MK+ER,145,17680
MK+ER,146,18165
MK+ER,147,16641
MK+ER,148,18202
MK+ER,149,16525
MK+ER,150,16177
MK+ER,151,17315
MK+ER,152,16792
MK+ER,153,16906
MK+ER,154,17117
MK+ER,155,15928
MK+ER,156,17314
MK+ER,157,15903
MK+ER,158,15871
MK+ER,159,16471
MK+ER,160,16344
MK+ER,161,17714
MK+ER,162,17795
MK+ER,163,17637
MK+ER,164,17285
MK+ER,165,17241
MK+ER,166,17968
MK+ER,167,16307
MK+ER,168,17144
MK+ER,169,16705
MK+ER,170,15786
MK+ER,171,16788
MK+ER,172,15871
MK+ER,173,16863
MK+ER,174,17065
MK+ER,175,17543
MK+ER,176,16613
MK+ER,177,17743
MK+ER,178,17070
MK+ER,179,17009
MK+ER,180,17744
MK+ER,181,15593
MK+ER,182,16905
MK+ER,183,16693
MK+ER,184,17064
MK+ER,185,16663
MK+ER,186,17262
MK+ER,187,17088
MK+ER,188,16583
MK+ER,189,16062
MK+ER,190,16916
MK+ER,191,16656
MK+ER,192,16789
MK+ER,193,17166
MK+ER,194,16781
MK+ER,195,16584
MK+ER,196,16955
MK+ER,197,17406
MK+ER,198,16915
MK+ER,199,17660
MK+ER+IE,0,18252
MK+ER+IE,1,18401
MK+ER+IE,2,18606
MK+ER+IE,3,18289
MK+ER+IE,4,18511
MK+ER+IE,5,17825
MK+ER+IE,6,18656
MK+ER+IE,7,18441
MK+ER+IE,8,18578
MK+ER+IE,9,18986
MK+ER+IE,10,18951
MK+ER+IE,11,18611
MK+ER+IE,12,18469
MK+ER+IE,13,18373
MK+ER+IE,14,17960
MK+ER+IE,15,18398
MK+ER+IE,16,18268
MK+ER+IE,17,16650
MK+ER+IE,18,17862
MK+ER+IE,19,18201
MK+ER+IE,20,18284
MK+ER+IE,21,18069
MK+ER+IE,22,18775
MK+ER+IE,23,18668
MK+ER+IE,24,18291
MK+ER+IE,25,18252
MK+ER+IE,26,18384
MK+ER+IE,27,18066
MK+ER+IE,28,17499
MK+ER+IE,29,18076
MK+ER+IE,30,18811
MK+ER+IE,31,18277
MK+ER+IE,32,17379
MK+ER+IE,33,18759
MK+ER+IE,34,18316
MK+ER+IE,35,19240
MK+ER+IE,36,17879
MK+ER+IE,37,18388
MK+ER+IE,38,18193
MK+ER+IE,39,17744
MK+ER+IE,40,18332
MK+ER+IE,41,16757
MK+ER+IE,42,19030
MK+ER+IE,43,18707
MK+ER+IE,44,18087
MK+ER+IE,45,18825
MK+ER+IE,46,18983
MK+ER+IE,47,18236
MK+ER+IE,48,18846
MK+ER+IE,49,17998
MK+ER+IE,50,17911
MK+ER+IE,51,18499
MK+ER+IE,52,18316
MK+ER+IE,53,18562
MK+ER+IE,54,18400
MK+ER+IE,55,17386
MK+ER+IE,56,18628
MK+ER+IE,57,17649
MK+ER+IE,58,17711
MK+ER+IE,59,18167
MK+ER+IE,60,18313
MK+ER+IE,61,18747
MK+ER+IE,62,18645
MK+ER+IE,63,18542
MK+ER+IE,64,18205
MK+ER+IE,65,18553
MK+ER+IE,66,18987
MK+ER+IE,67,18138
MK+ER+IE,68,18345
MK+ER+IE,69,18179
MK+ER+IE,70,17503
MK+ER+IE,71,17983
MK+ER+IE,72,17627
MK+ER+IE,73,18345
MK+ER+IE,74,18524
MK+ER+IE,75,18487
MK+ER+IE,76,17941
MK+ER+IE,77,18731
MK+ER+IE,78,18528
MK+ER+IE,79,18403
MK+ER+IE,80,18919
