mechanic,replicate,final_population_size
ER+IE,184,19969
ER+IE,185,19966
ER+IE,186,19933
ER+IE,187,19993
ER+IE,188,19911
ER+IE,189,19908
ER+IE,190,19926
ER+IE,191,19975
ER+IE,192,19943
ER+IE,193,19868
ER+IE,194,19990
ER+IE,195,19968
ER+IE,196,19933
ER+IE,197,19953
ER+IE,198,19955
ER+IE,199,19957
MK,0,19999
MK,1,19995
MK,2,20000
MK,3,19999
MK,4,20000
MK,5,19999
MK,6,19999
MK,7,20000
MK,8,20000
MK,9,20000
MK,10,20000
MK,11,20000
MK,12,20000
MK,13,20000
MK,14,19999
MK,15,20000
MK,16,20000
MK,17,20000
MK,18,20000
MK,19,20000
MK,20,20000
MK,21,19997
MK,22,20000
MK,23,20000
MK,24,20000
MK,25,19999
MK,26,20000
MK,27,20000
MK,28,20000
MK,29,19998
MK,30,20000
MK,31,20000
MK,32,20000
MK,33,20000
MK,34,20000
MK,35,20000
MK,36,19998
MK,37,19999
MK,38,20000
MK,39,20000
MK,40,20000
MK,41,20000
MK,42,19999
MK,43,20000
MK,44,20000
MK,45,20000
MK,46,19998
MK,47,20000
MK,48,19999
MK,49,19999
MK,50,20000
MK,51,20000
MK,52,20000
MK,53,20000
MK,54,20000
MK,55,20000
MK,56,19999
MK,57,19993
MK,58,20000
MK,59,20000
MK,60,19998
MK,61,20000
MK,62,20000
MK,63,19989
MK,64,20000
MK,65,19998
MK,66,20000
MK,67,20000
MK,68,19998
MK,69,19999
MK,70,20000
MK,71,19999
MK,72,19998
MK,73,19998
MK,74,19999
MK,75,20000
MK,76,20000
MK,77,20000
MK,78,20000
MK,79,20000
MK,80,20000
MK,81,19997
MK,82,20000
MK,83,20000
MK,84,20000
MK,85,19994
MK,86,20000
MK,87,19998
MK,88,19998
MK,89,20000
MK,90,20000
MK,91,20000
MK,92,19994
MK,93,20000
MK,94,19998
MK,95,20000
MK,96,20000
MK,97,19991
MK,98,19997
MK,99,20000
MK,100,20000
MK,101,20000
MK,102,19999
MK,103,20000
MK,104,20000
MK,105,20000
MK,106,20000
MK,107,19999
MK,108,20000
MK,109,19996
MK,110,20000
MK,111,20000
MK,112,19998
MK,113,19997
MK,114,19999
MK,115,20000
MK,116,19999
MK,117,20000
MK,118,20000
MK,119,19998
MK,120,20000
MK,121,20000
MK,122,20000
MK,123,19991
MK,124,20000
MK,125,20000
MK,126,20000
MK,127,19999
MK,128,20000
MK,129,20000
MK,130,20000
MK,131,20000
MK,132,19998
MK,133,19999
MK,134,19999
MK,135,19992
MK,136,20000
MK,137,19999
MK,138,20000
MK,139,19999
MK,140,20000
MK,141,19999
MK,142,20000
MK,143,20000
MK,144,20000
MK,145,19999
MK,146,20000
MK,147,19998
MK,148,20000
MK,149,19997
MK,150,19999
MK,151,20000
MK,152,20000
MK,153,20000
MK,154,19999
MK,155,19998
MK,156,19999
MK,157,19996
MK,158,20000
MK,159,19999
MK,160,19999
MK,161,20000
MK,162,20000
MK,163,19999
MK,164,20000
MK,165,20000
MK,166,20000
MK,167,20000
MK,168,19997
MK,169,19997
MK,170,20000
MK,171,20000
MK,172,20000
MK,173,19993
MK,174,19995
MK,175,19996
MK,176,19999
MK,177,20000
MK,178,19998
MK,179,19997
MK,180,20000
MK,181,19999
MK,182,20000
MK,183,20000
MK,184,19998
MK,185,20000
MK,186,20000
MK,187,19998
MK,188,20000
MK,189,19998
MK,190,19995
MK,191,19998
MK,192,20000
MK,193,19999
MK,194,20000
MK,195,20000
MK,196,19997
MK,197,20000
MK,198,20000
MK,199,19998
MK+IE,0,20000
MK+IE,1,20000
MK+IE,2,20000
MK+IE,3,20000
MK+IE,4,20000
MK+IE,5,20000
MK+IE,6,20000
MK+IE,7,20000
MK+IE,8,20000
MK+IE,9,20000
MK+IE,10,20000
MK+IE,11,20000
MK+IE,12,19997
