mechanic,replicate,final_infection_rate
MK+IE,65,0.93315
MK+IE,66,0.85655
MK+IE,67,0.9457
MK+IE,68,0.9216
MK+IE,69,0.835
MK+IE,70,0.9189
MK+IE,71,0.90505
MK+IE,72,0.7808
MK+IE,73,0.8276
MK+IE,74,0.84395
MK+IE,75,0.8242
MK+IE,76,0.872
MK+IE,77,0.8894
MK+IE,78,0.830542
MK+IE,79,0.86563
MK+IE,80,0.91685
MK+IE,81,0.9168
MK+IE,82,0.8803
MK+IE,83,0.85815
MK+IE,84,0.8964
MK+IE,85,0.90425
MK+IE,86,0.88975
MK+IE,87,0.91795
MK+IE,88,0.8758
MK+IE,89,0.84935
MK+IE,90,0.870437
MK+IE,91,0.91555
MK+IE,92,0.9441
MK+IE,93,0.95145
MK+IE,94,0.85105
MK+IE,95,0.90745
MK+IE,96,0.83115
MK+IE,97,0.8935
MK+IE,98,0.9174
MK+IE,99,0.874194
MK+IE,100,0.8785
MK+IE,101,0.89165
MK+IE,102,0.8862
MK+IE,103,0.8362
MK+IE,104,0.8933
MK+IE,105,0.913541
MK+IE,106,0.82855
MK+IE,107,0.91865
MK+IE,108,0.89985
MK+IE,109,0.859
MK+IE,110,0.844242
MK+IE,111,0.895445
MK+IE,112,0.8847
MK+IE,113,0.880544
MK+IE,114,0.8594
MK+IE,115,0.9082
MK+IE,116,0.8499
MK+IE,117,0.84975
MK+IE,118,0.8223
MK+IE,119,0.80985
MK+IE,120,0.88765
MK+IE,121,0.874837
MK+IE,122,0.8682
MK+IE,123,0.86745
MK+IE,124,0.8537
MK+IE,125,0.8507
MK+IE,126,0.86645
MK+IE,127,0.89405
MK+IE,128,0.911741
MK+IE,129,0.84935
MK+IE,130,0.898945
MK+IE,131,0.8792
MK+IE,132,0.9014
MK+IE,133,0.86815
MK+IE,134,0.89555
MK+IE,135,0.91045
MK+IE,136,0.872694
MK+IE,137,0.9011
MK+IE,138,0.881694
MK+IE,139,0.79565
MK+IE,140,0.92935
MK+IE,141,0.8504
MK+IE,142,0.85435
MK+IE,143,0.8722
MK+IE,144,0.89585
MK+IE,145,0.8148
MK+IE,146,0.91985
MK+IE,147,0.8945
MK+IE,148,0.91405
MK+IE,149,0.9215
MK+IE,150,0.83105
MK+IE,151,0.8464
MK+IE,152,0.87
MK+IE,153,0.787239
MK+IE,154,0.90095
MK+IE,155,0.89005
MK+IE,156,0.81855
MK+IE,157,0.86255
MK+IE,158,0.900885
MK+IE,159,0.844684
MK+IE,160,0.8723
MK+IE,161,0.8468
MK+IE,162,0.79435
MK+IE,163,0.93515
MK+IE,164,0.85485
MK+IE,165,0.90745
MK+IE,166,0.88175
MK+IE,167,0.926793
MK+IE,168,0.8531
MK+IE,169,0.8933
MK+IE,170,0.8512
MK+IE,171,0.89855
MK+IE,172,0.8663
MK+IE,173,0.79665
MK+IE,174,0.80208
MK+IE,175,0.84845
MK+IE,176,0.8949
MK+IE,177,0.837242
MK+IE,178,0.75615
MK+IE,179,0.9214
MK+IE,180,0.814491
MK+IE,181,0.89745
MK+IE,182,0.8803
MK+IE,183,0.81125
