genotype,sex,animalNo,expType,birthDate,median_curv_amp,mean_curv_amp,max_curv_amp
rei-HT,F,30,free swimming,11-2018,1.638860100210589,1.601955291483654,3.4587088638235817
rei-HT,F,21,free swimming,11-2018,1.3472178198294,1.4541899245009346,2.3354308198182947
rei-HT,F,59,free swimming,11-2018,1.3313656834601606,1.297468987655579,2.1031520204660596
rei-HT,F,12,free swimming,11-2018,1.5624858551082659,1.5881912097247526,3.261420373508621
rei-HT,F,38,free swimming,11-2018,1.1184657726524145,1.1863657845334132,2.1555729270987243
rei-HT,F,45,free swimming,11-2018,1.3869598864933863,1.383648167633924,2.456621564826042
rei-HT,F,60,free swimming,11-2018,1.727487756882811,1.8430943806108653,4.216496985907195
rei-HT,F,53,free swimming,11-2018,1.5611862867078012,1.5771038267505884,2.2402333448887344
rei-HT,F,51,free swimming,11-2018,1.812493248879933,1.9092876109131331,4.554905236608083
rei-HT,F,13,free swimming,11-2018,1.5176679426860424,1.6282851433846026,3.303849650748437
rei-HT,F,15,free swimming,11-2018,1.3028697402200156,1.4446842390748793,3.4067472851355443
rei-HT,F,28,free swimming,11-2018,1.4750482193336598,1.6343228147196616,3.398346924545755
rei-HT,F,25,free swimming,11-2018,1.194420222518494,1.4602458213862202,3.2465065009655767
rei-HT,F,11,free swimming,11-2018,1.085273196837435,1.1980524257717133,2.340433190968028
rei-HT,F,70,free swimming,11-2018,1.624437117031418,1.7989491893587595,3.9430080393197087
rei-HT,F,34,free swimming,11-2018,1.3486672367640298,1.3432833702478528,2.089659492224026
