Timestamp,sex,age,factorial framing,letter_i,tumor,k_position,framing,Steve,letter_ing,Linda,letter_ly,letter_l,Group,microframingID,framingID
17/12/2020 08:31:42,male,25.0,5555.0,9,90,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,librarian,9,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
21/06/2021 09:22:46,female,28.0,10000.0,1.5,10,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
21/06/2021 09:23:22,female,24.0,1000.0,21,40,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,13,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
21/06/2021 09:23:23,other,26.0,1500.0,3.5,50,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
21/06/2021 09:23:36,female,24.0,10000000.0,3.5,10,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,farmer,9,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
21/06/2021 09:23:38,female,23.0,1080.0,0.0,10,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,6,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
21/06/2021 09:23:54,male,30.0,87560.0,21,50,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,farmer,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
21/06/2021 09:24:26,female,24.0,1000.0,21,50,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,13,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
21/06/2021 09:25:10,female,23.0,1000000000.0,13,50,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
21/06/2021 09:25:57,female,27.0,800000.0,6,10,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,farmer,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
22/12/2021 08:33:41,male,34.0,300000.0,21,90,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
