genotype,sex,animalNo,expType,birthDate,median_curv_amp,mean_curv_amp,max_curv_amp
rei-HT,F,51,c-start,08-2019,1.5297476091760984,1.693473838429303,4.5373011492684565
rei-HT,F,56,c-start,08-2019,1.4739131145731081,1.65858119281185,3.6504156937236267
rei-HT,F,50,c-start,08-2019,1.3665463920038015,1.438681188959153,3.508420114858852
rei-HT,F,4,c-start,08-2019,1.7157310357071127,1.836778324669738,3.8528348137128816
rei-HT,F,12,c-start,08-2019,1.3337841116437106,1.5458414957894318,4.187014633692792
rei-HT,F,47,c-start,08-2019,1.5617951023650718,1.6927315890394967,4.6643239628727065
rei-HT,F,81,c-start,08-2019,1.4547906485927355,1.5832230291851173,3.0502209217230223
rei-HT,F,53,c-start,08-2019,1.795129073736659,1.9114017286671778,3.6211800629682296
rei-HT,F,80,c-start,08-2019,1.6801361304279179,1.8636466938572074,3.6959351996689267
rei-HT,F,23,c-start,08-2019,1.7320159652102831,1.8191699089480409,2.933453619998197
rei-HT,F,49,c-start,08-2019,1.400829812423066,1.608153035692995,2.8680336064460494
rei-HT,F,37,c-start,08-2019,1.4737643516394505,1.6027305724147785,3.8784717060928475
rei-HT,F,43,c-start,08-2019,1.3347658576677885,1.6205739298668445,5.549526612293375
rei-HT,F,44,c-start,08-2019,1.5163156797286343,1.6086384834968501,3.017930109370612
rei-HM,M,34,c-start,08-2019,1.7487297775222532,1.631668643418381,2.7354129350957024
rei-HM,M,57,c-start,08-2019,1.6690976037642336,1.7788554007012098,4.446059526795006
rei-HM,M,50,c-start,08-2019,0.8829167000743134,1.1162027040907576,2.4359319362562823
rei-HM,M,13,c-start,08-2019,1.4777403213645024,1.5021012740575228,3.180063955546991
rei-HM,M,22,c-start,08-2019,1.4629307630786115,1.5402218878434655,3.7085812148208017
rei-HM,M,14,c-start,08-2019,1.872385594437015,2.0601502862061802,4.942373055623909
rei-HM,M,18,c-start,08-2019,1.2766211757575276,1.3768849095326108,2.700184195012238
rei-HM,M,55,c-start,08-2019,1.3590352519227724,1.4583560265765392,2.9064505133273997
rei-HM,M,3,c-start,08-2019,1.6848460600586923,1.703762872868504,3.0127467668617687
rei-HM,M,21,c-start,08-2019,1.8796360479503225,1.9977061587889438,4.019565496096362
rei-HM,M,10,c-start,08-2019,1.2168047851412729,1.2849364562990078,3.2395936515540478
rei-HM,M,12,c-start,08-2019,1.5372210481795592,1.6320154872060304,3.760247794082675
rei-HM,M,70,c-start,08-2019,1.118460974519456,1.3612154261939167,4.051072264832724
rei-HM,M,11,c-start,08-2019,1.4056081910702671,1.571478324292695,3.0112373818165854
rei-HM,M,32,c-start,08-2019,1.5130583078775,1.6172720336487407,3.5438469523771547
rei-HM,M,48,c-start,08-2019,1.4497369843684822,1.6264769378711568,3.6891246695644755
rei-HM,M,31,c-start,08-2019,1.2669459512007337,1.4529624361894498,3.839288325869917
rei-HM,M,5,c-start,08-2019,1.2674944276137785,1.504369274991135,4.012742900996724
rei-HM,M,35,c-start,08-2019,1.3531046353350846,1.581533175024904,4.793443774408536
rei-HM,M,39,c-start,08-2019,1.1344754675835438,1.3704685257404614,4.6276715632196606
rei-HM,M,6,c-start,08-2019,1.259913745592566,1.4505195628282974,3.2272331888233854
rei-HM,M,47,c-start,08-2019,1.1199548854005856,1.4357506504396822,2.92905948819345
rei-HM,M,17,c-start,08-2019,1.1142314238499718,1.3559306399715612,3.0078744070729346
rei-HM,M,51,c-start,08-2019,1.617635796306006,1.6763415349305735,2.867797676512902
rei-HM,M,58,c-start,08-2019,1.622639395010556,1.8119357449385596,3.8713274019674087
rei-HM,M,59,c-start,08-2019,1.7049755313596913,1.6420635897371336,2.7613414526078968
rei-HM,M,38,c-start,08-2019,1.3179038598560047,1.4373611233397583,3.387574415182355
rei-HM,M,40,c-start,08-2019,1.0934630604205555,1.4998853111300787,3.0414775423621982
