genotype,sex,animalNo,expType,birthDate,median_curv_amp,mean_curv_amp,max_curv_amp
rei-HT,F,18,counter current,11-2019,1.187462096537182,1.2074112550272447,2.5713266048532715
rei-HT,M,26,counter current,11-2019,0.8563516978431986,0.9677413820636336,2.8857639507200776
rei-HT,F,20,counter current,11-2019,1.0905798026378344,1.2353657706693368,3.614745212778402
rei-HT,M,34,counter current,11-2019,1.0769798124682795,1.2084490717315723,3.0685269301217617
rei-HT,F,13,counter current,11-2019,1.4700345660520067,1.610984954827438,3.2227745340274003
rei-HT,F,7,counter current,11-2019,1.0582505344806497,1.1531637515865363,2.20071761810634
rei-HT,M,20,counter current,11-2019,0.788155382164976,0.9175434547096348,2.494016691350287
rei-HT,M,18,counter current,11-2019,1.227224403119649,1.331048849685976,2.998665921069807
rei-HT,F,25,counter current,11-2019,1.0065924648381122,1.1665048607786603,2.4577282532728972
rei-HT,F,1,counter current,11-2019,1.022424736379053,1.1427519418652983,2.090467466260015
rei-HT,M,10,counter current,11-2019,1.2138139224349676,1.4082030041006133,3.2998750698314
rei-HT,M,14,counter current,11-2019,1.0572628065383152,1.2776679471609096,3.485389341798009
rei-HT,M,40,counter current,11-2019,0.9512877401620261,1.1293126715651536,2.187966153136316
rei-HT,M,23,counter current,11-2019,1.06928992232945,1.2878989015020408,3.5743381128448894
rei-HT,M,3,counter current,11-2019,1.3309617799528233,1.4375097545291888,3.4702769536050124
rei-HT,F,8,counter current,11-2019,0.9590327099197875,1.0689773627115418,2.422965963548437
rei-HT,F,9,counter current,11-2019,0.8580696460831813,1.0124117192092676,2.841362186551196
rei-HT,F,10,counter current,11-2019,1.2164486186007433,1.2831314242660177,2.8729638753810667
rei-HT,M,16,counter current,11-2019,1.1797866673773885,1.3593902619539393,3.575815629922939
rei-HT,F,3,counter current,11-2019,1.1427108782982267,1.294606761987193,3.1718744844305493
rei-HT,F,23,counter current,11-2019,1.0058987296027042,1.0887803785802803,3.022321631332645
rei-HT,M,19,counter current,11-2019,0.9977915310855657,1.0980870485713088,2.666176763729418
rei-HT,M,30,counter current,11-2019,0.7921663033999705,0.9013078450038345,2.0661143692335595
rei-HT,M,28,counter current,11-2019,1.0356989060228492,1.203378510410225,2.3011516429793426
rei-HT,M,29,counter current,11-2019,1.238315514579095,1.2672083555786986,2.3356925155304786
rei-HT,F,12,counter current,11-2019,1.0142173977401363,1.1062267802501076,2.2634633571465717
rei-HT,M,31,counter current,11-2019,0.8256737200864349,1.0392780776072885,1.9208567015672737
rei-HT,M,25,counter current,11-2019,0.9566862274811457,1.0930276486879635,2.6518662076511723
rei-HT,M,5,counter current,11-2019,0.7935744071461115,1.0077360765688472,1.8746311889968246
rei-HT,F,19,counter current,11-2019,1.289135391298852,1.460059820849526,3.348123259097084
rei-HT,M,7,counter current,11-2019,0.8765434833347319,1.0304170556228611,2.1830734907059113
rei-HT,F,24,counter current,11-2019,0.8479001189524104,0.9894607201653944,2.563373060720179
rei-HT,M,15,counter current,11-2019,1.0827856775907485,1.2302860197021774,2.727994827317228
rei-HT,M,17,counter current,11-2019,1.2916946624720838,1.5907284277841045,3.778987473867632
rei-HT,M,21,counter current,11-2019,1.358241770621021,1.593478403116432,5.694145585042943
rei-HT,M,46,counter current,11-2019,0.8266277717690065,1.058881533178692,2.0547157884666944
rei-HT,F,6,counter current,11-2019,1.1602428608589905,1.2017180315132325,2.785127033509799
rei-HT,M,2,counter current,11-2019,1.2946291301796302,1.4735880418045073,5.195211688443282
rei-HT,M,6,counter current,11-2019,0.7420442093266404,0.9461610388232795,1.8898685625691836
rei-HT,F,2,counter current,11-2019,1.2579026191798266,1.2660035615268501,2.252977302871084
rei-HT,M,1,counter current,11-2019,1.0894569479784497,1.2127192085612026,2.542581630108348
rei-HT,M,44,counter current,11-2019,0.805826102613481,1.0280981357103025,2.155889817457425
rei-HT,F,17,counter current,11-2019,1.1108773587512202,1.192274916100265,3.027033148223969
rei-HT,M,27,counter current,11-2019,1.4205383624124872,1.460765441381501,3.219640668054858
rei-HT,M,24,counter current,11-2019,0.7180245679836784,0.895127167584587,2.0253952417764984
rei-HT,F,22,counter current,11-2019,1.3961673664014587,1.623156514754262,3.5857823324967946
rei-HT,F,14,counter current,11-2019,0.7465630249391291,0.8328846617301208,1.7522955084740337
rei-HT,M,37,counter current,11-2019,1.3750991909856431,1.499448828989349,3.0964482340986197
rei-HT,M,4,counter current,11-2019,1.2795776867736603,1.3813851718071122,2.9014956342544584
rei-HT,F,4,counter current,11-2019,0.9484830178521456,1.0044429049340353,1.893180911521358
rei-HT,M,22,counter current,11-2019,1.3763182025073273,1.3504229385994022,2.389337397457242
rei-HT,F,11,counter current,11-2019,0.8282844148397619,0.9109914595671821,1.8592633636333964
rei-HT,M,32,counter current,11-2019,0.9134075411296751,1.0341069950511255,2.6515288898149594
rei-HT,M,41,counter current,11-2019,0.9559688707637726,1.0671980093589848,1.9583429347567396
rei-HT,M,8,counter current,11-2019,0.9731925931927669,1.06951580540169,2.2848089192872862
sufge1-INT,F,7,counter current,08-2019,1.4270662529382614,1.6205621481096109,3.4432067606934336
sufge1-INT,M,20,counter current,08-2019,1.252093564419582,1.515059783745505,4.208109685439241
sufge1-INT,M,25,counter current,08-2019,0.9439751301825277,1.1643393347235638,3.308401872842543
sufge1-INT,M,32,counter current,08-2019,1.1642207708699512,1.3512419720666222,2.9497594960623275
sufge1-INT,M,14,counter current,08-2019,0.841982802407891,1.0038905154659976,2.5429576952540005
sufge1-INT,M,21,counter current,08-2019,1.185475439184354,1.384481550648306,3.831687512971361
sufge1-INT,M,28,counter current,08-2019,1.0480851274363652,1.210944452477624,4.076589465061633
sufge1-INT,M,5,counter current,08-2019,1.142471809721946,1.2496773288235132,2.753821216715472
sufge1-INT,M,22,counter current,08-2019,0.7513452791606036,1.0101313562924827,3.337449896598698
sufge1-INT,F,13,counter current,08-2019,0.9674294482371909,1.0507275508935858,2.7888711690338424
sufge1-INT,F,1,counter current,08-2019,0.9092632777613396,1.0023244980457957,2.074510491235836
sufge1-INT,F,6,counter current,08-2019,0.9411091458291754,1.1936144315857746,3.333696539028158
sufge1-INT,F,10,counter current,08-2019,1.1042245052370692,1.2922338170008476,3.4210795812476587
sufge1-INT,F,9,counter current,08-2019,1.047182244546093,1.1860453415796153,3.123089221647687
sufge1-INT,F,11,counter current,08-2019,1.2138691179568215,1.4722611799202894,3.4642677907074906
sufge1-INT,M,9,counter current,08-2019,1.1630651197537991,1.337235566442404,3.218198819464077
sufge1-INT,M,33,counter current,08-2019,0.954065683112628,1.0696665838021189,2.21422808193197
sufge1-INT,F,4,counter current,08-2019,0.8875674653587904,1.0147997194092953,2.06015758870538
