genotype,sex,animalNo,expType,birthDate,thrust_mean_m/s,slip_mean_m/s,yaw_mean_m/s,thrust_median_m/s,slip_median_m/s,yaw_median_m/s,cruising_thrust_mean_m/s,cruising_slip_mean_m/s,cruising_yaw_mean_m/s,cruising_thrust_median_m/s,cruising_slip_median_m/s,cruising_yaw_median_m/s,activity_duration_s,activity_fraction,sec_to_first_stop,torque
rei-INT,M,27,free swimming,11-2018,0.07624743776727892,0.021560128595671108,185.1937284726627,0.053842420986614445,0.0045848458259256,30.788940251585473,0.09941347052152631,0.02817170466484909,245.4275430281132,0.0791895401619473,0.0085751780041363,72.61907101026281,22.216332899999976,0.7403766038993501,29.97179819999997,0.0015703018503845864
rei-INT,M,34,free swimming,11-2018,0.038173568768719586,0.009612788840087904,70.4613722481813,0.0049641764105945,0.0008793142215551501,3.330711198634617,0.14763978859380236,0.03827904832204096,289.5542665179422,0.1264123989006313,0.0169066037330422,155.68613102245195,7.057317199999985,0.23529411764705882,7.052319099999985,0.0011597964807937228
rei-INT,M,80,free swimming,11-2018,0.06273881460521306,0.021228542755148266,125.50092316357667,0.05944247046761185,0.0056187847944537996,28.927406012528323,0.0642942757634922,0.02170659323262361,128.78277516454733,0.060616215276903196,0.00567250097559195,29.632311654322052,29.041742399999972,0.9678386935510748,29.996799699999972,0.002383966676984494
rei-INT,M,19,free swimming,11-2018,0.07712145688629207,0.019590211391091628,132.42646393551865,0.0583817836383706,0.0030541908602176497,15.247772526777226,0.1095963640758238,0.028211781455640364,192.23903358884166,0.0932200200407021,0.008804901435347,60.39680642265921,20.51637949999998,0.6840526578903516,21.600923799999983,0.001877000946385955
rei-INT,M,4,free swimming,11-2018,0.0652882781564102,0.025342676811336597,178.4730292215672,0.05969808077607615,0.0040617968548213,32.48652872250091,0.06599779301817313,0.025666328973494964,180.94691177618577,0.060358169026277095,0.00409538730229235,32.726939817649736,30.124698999999943,0.9839362674676766,30.608517499999945,0.0019065061320341517
rei-INT,M,6,free swimming,11-2018,0.06535172892671146,0.01954933157535194,150.83890536164836,0.0398465478663813,0.0021006660507468,10.55288378466912,0.11808960092431472,0.03532309058229544,273.96350065128473,0.1027555405995575,0.01322489876511725,96.79411545141559,16.395489999999977,0.547104350146784,16.475467999999978,0.0012804581695314288
rei-INT,M,40,free swimming,11-2018,0.07225191841969623,0.020812825400940246,160.4862897619737,0.05337880302062485,0.0038958887125052502,29.730791697215864,0.11003057331687745,0.031622625765268246,245.82014788473336,0.0957612422900672,0.01378469422230675,124.0788099581323,19.33993800000002,0.6448925179136811,19.56981840000002,0.0009580838563805636
rei-INT,M,9,free swimming,11-2018,0.08611539752636177,0.025982748677614926,196.3195403800499,0.0797651624100091,0.0066309463041275,58.14048880419875,0.08688038658774579,0.026223084649820982,198.31027364658965,0.0804692091134063,0.0067184845640797,59.91985250389576,29.40234800000005,0.9885752688172043,29.722156000000048,0.001600962064148881
rei-INT,M,28,free swimming,11-2018,0.13246667876607524,0.0399181311215227,368.4884158665761,0.07618112947730685,0.007403298893402049,38.3701533545036,0.22733562888483358,0.0678549425672755,633.6804076306959,0.19977049292217935,0.045299820134142896,383.9523332015574,17.27550720000001,0.5759040159973338,17.32549420000001,0.0007613817426397148
rei-INT,M,70,free swimming,11-2018,0.057727367229374035,0.01993070536791738,117.41773772161429,0.04956667883216835,0.00612637712562315,33.1552391111245,0.06172126550225147,0.021284817319548354,126.68126939165295,0.0530252241748066,0.0065568391939018,40.41345090101913,27.3477345,0.9119559779889945,29.972997000000003,0.0017113363297503238
rei-INT,M,16,free swimming,11-2018,0.05882405762122891,0.02177432857893106,277.54023376089856,0.035540832278318,0.00519170978068235,44.67671896100569,0.077628553374921,0.028810932159136524,377.7696018797651,0.0525291091583993,0.0130714125874366,134.26068185381155,21.62240499999996,0.720713214464256,29.386473199999948,0.0007577129248395012
rei-INT,M,33,free swimming,11-2018,0.05957111943572205,0.015689503308316272,112.4666816001854,0.014179736075117199,0.0016231647960801001,7.011394398983839,0.11757530618981255,0.03132292799391129,227.44702361526228,0.1099452727932853,0.0163947135764033,94.2899654293342,14.602663200000023,0.48675220796533913,17.06226960000003,0.0014503410548155453
rei-INT,M,24,free swimming,11-2018,0.050980816878832984,0.012222023649007728,82.01378915532439,0.0351457523531081,0.00229868148772345,12.194002410944904,0.07441933493608727,0.01819368960181047,123.61505041916843,0.0599468298873511,0.0036421392193591,17.453442431442223,18.92235049999999,0.6307282119646725,29.975802799999983,0.0036328327216061246
rei-INT,M,3,free swimming,11-2018,0.06589961334282347,0.017806942682031538,138.37468469118437,0.058629358080871,0.0039339827666269,29.824242121023303,0.06714262002873184,0.018188157930300052,141.57489496444526,0.0595049979825917,0.0040172743565708,30.548374617787037,29.121097500000054,0.9733743644634734,29.893657200000057,0.0020897397730483807
rei-HT,F,55,free swimming,11-2018,0.057428755563100224,0.019996463708740402,178.08097642317696,0.0521102376226975,0.0056362144172363,51.05750655106789,0.05981167572857213,0.021061369359244467,187.79956517160346,0.0542402844859302,0.006077859365425,57.500482420408616,28.828135799999956,0.9413838120104439,30.611154599999953,0.0011489329395337868
