,genotype,light_condition,activity_norm_sum,activity_freq,activity_bout_dur_sec,distance_walked_mm,max_speed_mmPs,avg_speed_mmPs,sex
108,13V,dark,0.004406836150869332,0.0012961282796674506,6.8,396.41163314631336,0.7545471085149001,0.5997653289009018,female
109,13V,dark,0.04794651410793386,0.01639590834009721,5.848595041322313,5723.426735830251,1.4447686540811207,0.7354592256533667,female
110,13V,dark,0.0,0.0,,346.27919514486285,,,female
111,13V,dark,0.0,0.0,,380.41506137699645,,,male
112,13V,dark,0.052821997105643996,0.017818717919532566,5.914611872146118,6461.341409781537,1.3833382464268749,0.721803795379028,male
113,13V,dark,0.02038244524301208,0.00802181065274774,5.081756756756756,3617.721569131863,0.9965331635946829,0.6336667804759396,male
114,13V,dark,0.007337517683214361,0.002222258356504442,6.6036585365853675,1925.5766626323348,1.3020772997245336,0.7386483628759052,female
115,13V,dark,0.03282031686152078,0.008590925597706196,7.6406940063091495,5687.36911866355,1.345569235910344,0.7322904284499859,female
116,13V,dark,0.03559000959365193,0.010460874702569688,6.80440414507772,4828.49962818708,1.5079407555835607,0.7448284219699458,female
117,13V,dark,0.24103372954573787,0.06317175889038847,7.631059631059631,20756.248440742,1.4852249825202217,0.8225540031310368,male
118,13V,dark,0.04094782028976081,0.015176398532225455,5.396249999999999,5193.338315052672,1.3044062854611047,0.6938554948724983,male
119,13V,dark,0.05328135416836046,0.018563987490311493,5.74029197080292,7764.6518121871995,1.3472123683258606,0.6946264527825079,male
120,13V,dark,0.034839319880540065,0.011300996764175026,6.165707434052757,3714.5250274835826,1.1266140957328923,0.6968271345991675,female
121,13V,dark,0.028308048369350178,0.00802181065274774,7.05777027027027,3490.6869855127766,1.5264685347221343,0.8048166807001257,female
122,13V,dark,0.025622367843379568,0.0055014444679317275,9.314778325123154,5963.700602090528,1.3435659216332818,0.7130217672334087,female
123,13V,dark,0.06700379951977539,0.02571857536978921,5.210537407797682,9191.157067486753,1.4138258417114693,0.6987107177619611,male
124,13V,dark,0.10698547943869006,0.0302579445736245,7.069086021505377,9420.396862094614,1.405602596083416,0.7768812925519799,male
125,13V,dark,0.03156284384027925,0.010244069009252182,6.162169312169313,4568.394009219675,1.2489114173976799,0.6863421400667874,male
126,13V,dark,0.007206079231640623,0.001978351951522247,7.284931506849316,1628.7877952389433,1.1218216909223404,0.6926277914081239,female
127,13V,dark,0.0020257781969354517,0.0007046185032818961,5.75,1227.70239931125,1.0357257578107768,0.674490706699922,female
128,13V,dark,0.01633766402705735,0.005271088418781877,6.195876288659794,3172.6721528159137,1.3207742459462781,0.692628117798667,female
129,13V,dark,0.04152506544821867,0.014851189992249195,5.592153284671533,5359.234064714632,1.2958592131546423,0.6907632727163106,male
130,13V,dark,0.18515070705756734,0.046315116234952325,7.995260386190756,15182.72366899697,1.303396975643729,0.7956315267769763,male
131,13V,dark,0.027306677073339947,0.008943234849347144,6.1066666666666665,4108.727431285996,1.1161053749942276,0.6651080930149014,male
132,13V,dark,0.007926958161921332,0.0021951576448397533,7.222222222222223,1962.269023204745,1.1276328584835675,0.7022154001923034,female
133,13V,dark,0.019708992558144577,0.004986530946302649,7.904891304347826,3178.6050815315684,1.3324767655075167,0.7592492752963274,female
134,13V,dark,0.0812059274676553,0.021111454386792197,7.693068035943517,8887.066457113073,1.369159695680389,0.7635236750393236,female
135,13V,dark,0.03530951722792241,0.012791535905732884,5.520762711864407,5063.977579197641,1.2399594483336984,0.6879251986038113,male
136,13V,dark,0.057477899369637445,0.016992146213759572,6.765231259968102,5834.435434915625,1.3290162873350029,0.7553671565346046,male
137,13V,dark,0.08267343100429818,0.021572166485091897,7.664824120603016,7389.980254290066,1.2711962482265249,0.7435717018822758,male
