,saccade_peak_s,saccade_start_idx,sacc_peak_idx,saccade_stop_idx,amplitude_deg,top_speed_degPs,saccade_duration_s,direction,id,category,Bodypart,abs_speed_degPs,median_abs_rot_vel_degPs,median_translational_vel_mPs
90,0.68,8,17.0,36,5721.103636971171,260.3617116141185,1.138134358221463,right,59,associated,head,260.3617116141185,49.53096587233432,1.0979505814244785
91,4.12,61,103.0,106,9927.630991985414,301.0534668013468,1.7811499588210904,right,59,free,head,301.0534668013468,69.63400961713653,1.0482640924083741
92,4.52,111,113.0,117,3595.2130663892112,296.21821571362415,0.26186196570808706,right,59,free,head,296.21821571362415,246.82884055366827,0.38697020871325405
94,5.48,132,137.0,155,5746.036658402171,310.01259906058374,0.9219174315903911,right,59,associated,head,310.01259906058374,51.070565610258,1.5238588914149997
95,8.96,216,224.0,236,26746.715244344745,1043.6471272314998,0.7974381003391511,right,59,free,head,1043.6471272314998,474.93573379558995,2.2403390163353567
96,9.32,231,233.0,234,3005.05588211242,456.6397432966566,0.11083055826091709,right,59,free,head,456.6397432966566,446.08174290846705,2.6440020765876686
97,1.32,28,33.0,40,-7062.3503941306835,-460.76007502460897,0.47386849642032286,left,60,associated,head,460.76007502460897,229.76357204957125,0.5551154090877916
98,2.24,42,56.0,69,43371.6713343732,1237.9915532008572,1.0974329671595173,right,60,associated,head,1237.9915532008572,735.9516613836813,1.5992998640165337
99,5.96,147,149.0,152,-2501.0138522963666,-269.1569413561908,0.20080704750221912,left,60,associated,head,269.1569413561908,201.17985310417623,0.9948787747333423
100,6.16,153,154.0,157,-2048.6976562628047,-253.66831571395872,0.14941453186899933,left,60,associated,head,253.66831571395872,205.8475934748884,0.7231169954202445
101,6.48,110,162.0,175,-18101.344094028686,-355.5194760997666,2.6049386557267606,left,60,associated,head,355.5194760997666,105.46321814082447,0.9275246787819837
102,2.2,51,55.0,153,-29954.376279917447,-534.853218369322,4.073091431016012,left,10,body,body,534.853218369322,50.01732313979659,0.80129399861656
103,2.76,63,69.0,75,-8331.612043450177,-375.2106699469942,0.46374540149983573,left,10,body,body,375.2106699469942,13.542413293413347,0.561902606784703
104,2.88,71,72.0,73,-1559.3810029143567,-344.12765216682783,0.0781072169618966,left,10,body,body,344.12765216682783,13.542413293413347,0.25104960886628586
106,0.24,4,6.0,7,-2103.2963569909143,-336.5053976265519,0.11275591529337291,left,18,body,body,336.5053976265519,59.42725209429085,0.3083001251597517
107,0.6,11,15.0,36,-8752.124342788886,-346.3936060580446,0.9705944263913853,left,18,body,body,346.3936060580446,32.84111179900613,0.08609459846956483
108,1.72,37,43.0,53,-5927.198829657937,-389.16951258011636,0.6460853695603589,left,18,body,body,389.16951258011636,217.5498430786476,0.04648728807212574
109,3.12,70,78.0,92,8895.7275730967,427.7993526257062,0.8545349151431225,right,18,body,body,427.7993526257062,29.338582489360476,0.49009993935196494
110,5.68,126,142.0,156,-16422.45381410292,-738.50625055488,1.1931338761879795,left,18,body,body,738.50625055488,22.352851710647315,0.2082507747335074
111,0.2,3,5.0,5,1408.2906216939937,318.469790699486,0.09257089898384581,right,19,body,body,318.469790699486,499.12588454347855,12.856580989622826
112,0.8,9,20.0,26,-8848.716200777042,-327.8640061228798,0.670734387860079,left,19,body,body,327.8640061228798,600.3606185461954,7.320757414217411
113,0.92,22,23.0,23,-702.8577678144715,-317.23250556344544,0.055915157299305206,left,19,body,body,317.23250556344544,719.2129374411522,5.9437260900541675
114,1.12,26,28.0,33,2039.7469507136507,253.47109978864745,0.26268083158401795,right,19,body,body,253.47109978864745,328.0195322298525,1.6002806301458374
115,1.96,33,49.0,58,-11692.212469641992,-449.9113468502884,0.9744906084212226,left,19,body,body,449.9113468502884,183.9137299951055,1.412237643128899
116,5.68,140,142.0,144,2110.7985789843165,296.34978885286915,0.13965683819082755,right,19,body,body,296.34978885286915,394.47681617715773,3.0844215737945966
117,5.88,139,147.0,153,6269.987098352502,354.5199168519088,0.5487382666822032,right,19,body,body,354.5199168519088,96.82558792581517,0.4947515003004444
118,6.44,153,161.0,172,-13962.273421059223,-772.699787464746,0.7332052899579629,left,19,body,body,772.699787464746,32.63711559048659,0.8545807963741409
119,6.04,125,151.0,165,3395.7937502604045,344.9114099213307,1.588266211654625,right,24,body,body,344.9114099213307,64.57669481727741,0.484636212419641
120,6.36,155,159.0,164,-3784.9718069736587,-285.3257145124608,0.36652599410371406,left,24,body,body,285.3257145124608,86.33711775716523,0.5833143764294964
121,8.16,204,204.0,205,606.8880980148627,264.8048875381355,0.03866266193990782,right,24,body,body,264.8048875381355,199.8907128943922,0.15424530040635848
122,8.44,195,211.0,225,24958.843999656616,911.0920636119665,1.1968562453939864,right,24,body,body,911.0920636119665,160.59989857316506,0.8516259988617003
123,8.72,217,218.0,220,2263.41507359706,341.6932128807169,0.10627337104728668,right,24,body,body,341.6932128807169,174.56086720708228,5.643512803976181
124,9.16,225,229.0,234,-4483.891754445031,-368.17380112748015,0.34228235737823753,left,24,body,body,368.17380112748015,528.5160868632266,0.31209061635284585
125,9.84,235,246.0,270,24229.51116692619,773.092937414614,1.4023373111437183,right,24,body,body,773.092937414614,829.8176652410973,2.5377310081060527
126,10.12,251,253.0,255,2236.002909509646,273.4099808506346,0.17380987460524921,right,24,body,body,273.4099808506346,1038.1757158984499,0.02715786977053344
127,10.48,258,262.0,264,4061.8547327403853,432.07633192590407,0.22826146875720496,right,24,body,body,432.07633192590407,775.5753777150744,3.67636430913295
128,11.16,277,279.0,283,9636.523959105747,836.5028842957391,0.22524316659119903,right,24,body,body,836.5028842957391,978.13586370699,0.007390895511568957
129,0.72,9,18.0,25,-18347.489534774195,-935.0013008598914,0.6080233985260377,left,25,body,body,935.0013008598914,438.9289476225102,0.009433831346526783
130,3.68,84,92.0,107,10952.86151280599,495.7759957455369,0.9062405373319035,right,25,body,body,495.7759957455369,28.24001630613111,1.2080625109950112
131,0.2,1,5.0,10,15089.626698808377,891.9003580198614,0.3322919916477345,right,27,body,body,891.9003580198614,256.7867385641157,0.06011034575696639
132,0.68,14,17.0,23,-2809.071459405695,-270.73790280535246,0.33717128513736283,left,27,body,body,270.73790280535246,469.3672139616848,0.02085144719980764
133,8.76,209,219.0,230,16827.71309897917,810.3571351299328,0.8741238602886893,right,27,body,body,810.3571351299328,39.362433014825626,1.3704270177605626
134,3.48,81,87.0,90,3964.205013801683,340.51843829882006,0.3481402804031069,right,28,body,body,340.51843829882006,226.6399166647342,0.3325873572087181
135,3.72,57,93.0,98,2069.7600625941736,-379.58344452717,1.628445905014877,left,28,body,body,379.58344452717,154.12532863572218,0.024379401993303747
136,8.4,205,210.0,214,-15012.38502665285,-962.6751611853242,0.3870491283361628,left,28,body,body,962.6751611853242,580.9660489763551,0.0005701374240555633
137,8.88,197,222.0,233,-41551.18381200967,-978.5691685518269,1.443240216528476,left,28,body,body,978.5691685518269,115.98383735378945,0.0005006672020958952
138,9.16,228,229.0,230,-1445.8981513844328,-333.83151525929117,0.08128753599516812,left,28,body,body,333.83151525929117,52.32136952097903,13.096667615796683
139,0.48,3,12.0,17,-11973.928078547653,-808.1880796477792,0.5611805430103964,left,30,body,body,808.1880796477792,93.3651373420254,1.4100721663131295
