saccade_duration_msec,saccade_type,species,dataset,bodypart,id
457.0589246855559,saccade,gentoo,confined,head,confined head gentoo
88.97402648986372,saccade,gentoo,confined,head,confined head gentoo
1472.2743978406677,saccade,gentoo,confined,head,confined head gentoo
492.3979859474304,saccade,gentoo,confined,head,confined head gentoo
3245.0021607774306,saccade,gentoo,confined,head,confined head gentoo
411.1085418222012,saccade,gentoo,confined,head,confined head gentoo
1289.3992584160912,saccade,gentoo,confined,head,confined head gentoo
246.6212489379643,saccade,gentoo,confined,head,confined head gentoo
505.1982697958306,saccade,gentoo,confined,head,confined head gentoo
1422.1439094087814,saccade,gentoo,confined,head,confined head gentoo
355.3072945370415,saccade,gentoo,confined,head,confined head gentoo
388.95302943074967,saccade,gentoo,confined,head,confined head gentoo
575.8022333401351,saccade,gentoo,confined,head,confined head gentoo
933.1115065014592,saccade,gentoo,confined,head,confined head gentoo
369.6494873964889,saccade,gentoo,confined,head,confined head gentoo
786.8404755820166,saccade,gentoo,confined,head,confined head gentoo
282.2607299131176,saccade,gentoo,confined,head,confined head gentoo
123.28490248450294,saccade,gentoo,confined,head,confined head gentoo
116.95663081840166,saccade,gentoo,confined,head,confined head gentoo
1161.1280960751594,saccade,gentoo,confined,head,confined head gentoo
1100.879500891995,saccade,gentoo,confined,head,confined head gentoo
1657.3821045492089,saccade,gentoo,confined,head,confined head gentoo
668.3419305978947,saccade,gentoo,confined,head,confined head gentoo
1568.2672847462209,saccade,gentoo,confined,head,confined head gentoo
433.2002032467233,saccade,gentoo,confined,head,confined head gentoo
236.84823228652817,saccade,gentoo,confined,head,confined head gentoo
112.13377384938326,saccade,gentoo,confined,head,confined head gentoo
1138.134358221463,saccade,gentoo,confined,head,confined head gentoo
1781.1499588210904,saccade,gentoo,confined,head,confined head gentoo
261.86196570808704,saccade,gentoo,confined,head,confined head gentoo
584.6303204201274,saccade,gentoo,confined,head,confined head gentoo
921.9174315903912,saccade,gentoo,confined,head,confined head gentoo
797.4381003391511,saccade,gentoo,confined,head,confined head gentoo
110.83055826091709,saccade,gentoo,confined,head,confined head gentoo
473.86849642032286,saccade,gentoo,confined,head,confined head gentoo
1097.4329671595174,saccade,gentoo,confined,head,confined head gentoo
200.80704750221912,saccade,gentoo,confined,head,confined head gentoo
149.41453186899935,saccade,gentoo,confined,head,confined head gentoo
2604.9386557267608,saccade,gentoo,confined,head,confined head gentoo
7560.0,intersaccade,gentoo,confined,head,confined head gentoo
360.0,intersaccade,gentoo,confined,head,confined head gentoo
5160.0,intersaccade,gentoo,confined,head,confined head gentoo
2000.0,intersaccade,gentoo,confined,head,confined head gentoo
720.0,intersaccade,gentoo,confined,head,confined head gentoo
360.0,intersaccade,gentoo,confined,head,confined head gentoo
10800.0,intersaccade,gentoo,confined,head,confined head gentoo
200.0,intersaccade,gentoo,confined,head,confined head gentoo
640.0,intersaccade,gentoo,confined,head,confined head gentoo
1560.0,intersaccade,gentoo,confined,head,confined head gentoo
120.0,intersaccade,gentoo,confined,head,confined head gentoo
200.0,intersaccade,gentoo,confined,head,confined head gentoo
680.0,intersaccade,gentoo,confined,head,confined head gentoo
5400.0,intersaccade,gentoo,confined,head,confined head gentoo
280.0,intersaccade,gentoo,confined,head,confined head gentoo
360.0,intersaccade,gentoo,confined,head,confined head gentoo
1200.0,intersaccade,gentoo,confined,head,confined head gentoo
680.0,intersaccade,gentoo,confined,head,confined head gentoo
8440.0,intersaccade,gentoo,confined,head,confined head gentoo
4920.0,intersaccade,gentoo,confined,head,confined head gentoo
200.0,intersaccade,gentoo,confined,head,confined head gentoo
1000.0,intersaccade,gentoo,confined,head,confined head gentoo
440.0,intersaccade,gentoo,confined,head,confined head gentoo
4080.0,intersaccade,gentoo,confined,head,confined head gentoo
6200.0,intersaccade,gentoo,confined,head,confined head gentoo
640.0,intersaccade,gentoo,confined,head,confined head gentoo
200.0,intersaccade,gentoo,confined,head,confined head gentoo
5160.0,intersaccade,gentoo,confined,head,confined head gentoo
6560.0,intersaccade,gentoo,confined,head,confined head gentoo
440.0,intersaccade,gentoo,confined,head,confined head gentoo
400.0,intersaccade,gentoo,confined,head,confined head gentoo
680.0,intersaccade,gentoo,confined,head,confined head gentoo
8440.0,intersaccade,gentoo,confined,head,confined head gentoo
680.0,intersaccade,gentoo,confined,head,confined head gentoo
9480.0,intersaccade,gentoo,confined,head,confined head gentoo
400.0,intersaccade,gentoo,confined,head,confined head gentoo
200.0,intersaccade,gentoo,confined,head,confined head gentoo
8240.0,intersaccade,gentoo,confined,head,confined head gentoo
1880.0,intersaccade,gentoo,confined,head,confined head gentoo
4073.091431016012,saccade,gentoo,confined,associated,confined associated gentoo
463.7454014998357,saccade,gentoo,confined,associated,confined associated gentoo
78.1072169618966,saccade,gentoo,confined,associated,confined associated gentoo
91.46412746047478,saccade,gentoo,confined,associated,confined associated gentoo
112.75591529337292,saccade,gentoo,confined,associated,confined associated gentoo
970.5944263913852,saccade,gentoo,confined,associated,confined associated gentoo
646.0853695603589,saccade,gentoo,confined,associated,confined associated gentoo
854.5349151431225,saccade,gentoo,confined,associated,confined associated gentoo
1193.1338761879797,saccade,gentoo,confined,associated,confined associated gentoo
92.5708989838458,saccade,gentoo,confined,associated,confined associated gentoo
670.734387860079,saccade,gentoo,confined,associated,confined associated gentoo
55.91515729930521,saccade,gentoo,confined,associated,confined associated gentoo
262.68083158401794,saccade,gentoo,confined,associated,confined associated gentoo
974.4906084212226,saccade,gentoo,confined,associated,confined associated gentoo
139.65683819082756,saccade,gentoo,confined,associated,confined associated gentoo
548.7382666822032,saccade,gentoo,confined,associated,confined associated gentoo
733.2052899579628,saccade,gentoo,confined,associated,confined associated gentoo
1588.2662116546248,saccade,gentoo,confined,associated,confined associated gentoo
366.5259941037141,saccade,gentoo,confined,associated,confined associated gentoo
38.66266193990782,saccade,gentoo,confined,associated,confined associated gentoo
1196.8562453939865,saccade,gentoo,confined,associated,confined associated gentoo
106.27337104728667,saccade,gentoo,confined,associated,confined associated gentoo
342.2823573782375,saccade,gentoo,confined,associated,confined associated gentoo
1402.3373111437184,saccade,gentoo,confined,associated,confined associated gentoo
173.8098746052492,saccade,gentoo,confined,associated,confined associated gentoo
228.26146875720497,saccade,gentoo,confined,associated,confined associated gentoo
225.24316659119904,saccade,gentoo,confined,associated,confined associated gentoo
608.0233985260377,saccade,gentoo,confined,associated,confined associated gentoo
906.2405373319036,saccade,gentoo,confined,associated,confined associated gentoo
332.2919916477345,saccade,gentoo,confined,associated,confined associated gentoo
337.1712851373628,saccade,gentoo,confined,associated,confined associated gentoo
874.1238602886892,saccade,gentoo,confined,associated,confined associated gentoo
348.1402804031069,saccade,gentoo,confined,associated,confined associated gentoo
1628.4459050148769,saccade,gentoo,confined,associated,confined associated gentoo
387.0491283361628,saccade,gentoo,confined,associated,confined associated gentoo
1443.240216528476,saccade,gentoo,confined,associated,confined associated gentoo
81.28753599516813,saccade,gentoo,confined,associated,confined associated gentoo
561.1805430103965,saccade,gentoo,confined,associated,confined associated gentoo
446.9609842123498,saccade,gentoo,confined,associated,confined associated gentoo
1598.842284582443,saccade,gentoo,confined,associated,confined associated gentoo
839.1755027838622,saccade,gentoo,confined,associated,confined associated gentoo
88.30942857334321,saccade,gentoo,confined,associated,confined associated gentoo
1072.8318415080946,saccade,gentoo,confined,associated,confined associated gentoo
92.44046821909706,saccade,gentoo,confined,associated,confined associated gentoo
463.209580606391,saccade,gentoo,confined,associated,confined associated gentoo
1176.9870668505157,saccade,gentoo,confined,associated,confined associated gentoo
939.501394182298,saccade,gentoo,confined,associated,confined associated gentoo
1087.3039143647782,saccade,gentoo,confined,associated,confined associated gentoo
218.83930338530348,saccade,gentoo,confined,associated,confined associated gentoo
1150.4750273422524,saccade,gentoo,confined,associated,confined associated gentoo
120.37695668813568,saccade,gentoo,confined,associated,confined associated gentoo
98.00091758083768,saccade,gentoo,confined,associated,confined associated gentoo
1629.253871729922,saccade,gentoo,confined,associated,confined associated gentoo
652.8768074147513,saccade,gentoo,confined,associated,confined associated gentoo
762.9080591215032,saccade,gentoo,confined,associated,confined associated gentoo
916.5353769793944,saccade,gentoo,confined,associated,confined associated gentoo
524.9402129725926,saccade,gentoo,confined,associated,confined associated gentoo
515.4231494602698,saccade,gentoo,confined,associated,confined associated gentoo
1138.623473358508,saccade,gentoo,confined,associated,confined associated gentoo
653.9565975833017,saccade,gentoo,confined,associated,confined associated gentoo
541.210703377734,saccade,gentoo,confined,associated,confined associated gentoo
915.4504885027108,saccade,gentoo,confined,associated,confined associated gentoo
97.9815269822288,saccade,gentoo,confined,associated,confined associated gentoo
362.82019341666256,saccade,gentoo,confined,associated,confined associated gentoo
386.8603310782015,saccade,gentoo,confined,associated,confined associated gentoo
940.8075525989906,saccade,gentoo,confined,associated,confined associated gentoo
1684.9162204844874,saccade,gentoo,confined,associated,confined associated gentoo
418.4569536385311,saccade,gentoo,confined,associated,confined associated gentoo
427.2470032126566,saccade,gentoo,confined,associated,confined associated gentoo
962.7916839380656,saccade,gentoo,confined,associated,confined associated gentoo
262.9169936211207,saccade,gentoo,confined,associated,confined associated gentoo
61.67390319763968,saccade,gentoo,confined,associated,confined associated gentoo
1445.680398055869,saccade,gentoo,confined,associated,confined associated gentoo
876.5270950627598,saccade,gentoo,confined,associated,confined associated gentoo
100.33987808182246,saccade,gentoo,confined,associated,confined associated gentoo
413.4032279160681,saccade,gentoo,confined,associated,confined associated gentoo
338.38547759245444,saccade,gentoo,confined,associated,confined associated gentoo
330.3997704360643,saccade,gentoo,confined,associated,confined associated gentoo
1465.2529103344398,saccade,gentoo,confined,associated,confined associated gentoo
404.137628672834,saccade,gentoo,confined,associated,confined associated gentoo
978.309768833264,saccade,gentoo,confined,associated,confined associated gentoo
434.9518065312702,saccade,gentoo,confined,associated,confined associated gentoo
1310.3234257582142,saccade,gentoo,confined,associated,confined associated gentoo
186.27408561729112,saccade,gentoo,confined,associated,confined associated gentoo
575.1476862164611,saccade,gentoo,confined,associated,confined associated gentoo
