sex,stimulus_01_name,stimulus_01_amplitude,stimulus_01_amplitude_unit,preference_index,decision_duration_index,id
female,Salt,6.0,%,-1.0,,female_6.0
male,Salt,6.0,%,0.8986860337330975,0.8976463092043019,male_6.0
female,Salt,6.0,%,-0.969406274306456,-1.0,female_6.0
male,Salt,6.0,%,-1.0,,male_6.0
female,Salt,6.0,%,1.0,1.0,female_6.0
male,Salt,6.0,%,-0.8396298991579166,-0.8381237210766567,male_6.0
female,Salt,6.0,%,1.0,1.0,female_6.0
male,Salt,6.0,%,1.0,,male_6.0
female,Salt,6.0,%,-0.9714799303213372,-0.983259230260153,female_6.0
male,Salt,6.0,%,0.1715856850194572,0.2084849955512416,male_6.0
female,Salt,6.0,%,0.9293941179621792,0.9250710631040364,female_6.0
male,Salt,6.0,%,1.0,1.0,male_6.0
female,Salt,6.0,%,0.8177638176692085,0.8306321756943452,female_6.0
male,Salt,6.0,%,1.0,1.0,male_6.0
female,Salt,6.0,%,-0.978295005068474,-0.9972909245974012,female_6.0
male,Salt,6.0,%,-0.5738628981480555,-0.6193404423786852,male_6.0
female,Salt,6.0,%,0.9992036078416848,0.9991735775443722,female_6.0
male,Salt,6.0,%,-1.0,,male_6.0
female,Salt,6.0,%,1.0,,female_6.0
male,Salt,6.0,%,0.978340287436254,0.9783081066022844,male_6.0
female,Salt,6.0,%,0.9971269427890898,0.9970433671279648,female_6.0
male,Salt,6.0,%,-0.849394613293798,-0.8500422271201105,male_6.0
female,Salt,6.0,%,-0.349445179680342,-0.3567517220908691,female_6.0
male,Salt,6.0,%,0.7429787399055753,0.7305855334024348,male_6.0
female,Salt,6.0,%,-0.9184415289373544,-0.9175494502339736,female_6.0
male,Salt,6.0,%,1.0,,male_6.0
female,Salt,6.0,%,-0.9986753777418558,-0.9980036881016427,female_6.0
male,Salt,6.0,%,-0.9064548860443332,-0.904742980904882,male_6.0
female,Salt,6.0,%,0.9981477365340444,0.998462379236562,female_6.0
male,Salt,6.0,%,0.9985631097330409,0.994898872382316,male_6.0
female,Salt,6.0,%,0.9158124074746516,0.9158124074746516,female_6.0
male,Salt,6.0,%,-0.9926481428697798,-1.0,male_6.0
female,Salt,6.0,%,0.999333141920366,0.9993148990427616,female_6.0
male,Salt,6.0,%,-0.9750438031315763,-0.9960649471110152,male_6.0
female,Salt,6.0,%,0.7142350568471442,0.7142350568471444,female_6.0
male,Salt,6.0,%,0.975647580508372,0.9756280919584828,male_6.0
female,Salt,6.0,%,-0.5820687734929695,-0.5525369159528589,female_6.0
male,Salt,6.0,%,-0.9390014545521924,-0.944297353288184,male_6.0
female,Salt,6.0,%,-0.868607730918116,-0.9512798940110436,female_6.0
male,Salt,6.0,%,-0.9896706117787368,-0.9886290304635172,male_6.0
female,Salt,6.0,%,0.7983715710488998,0.7983715710488998,female_6.0
male,Salt,6.0,%,-0.9964328180737216,-0.9921253383643672,male_6.0
female,Salt,6.0,%,0.9939514956477912,0.9939488561980586,female_6.0
male,Salt,6.0,%,-1.0,-1.0,male_6.0
female,Salt,6.0,%,1.0,1.0,female_6.0
male,Salt,8.0,%,-0.9686908171547454,-0.9686908171547454,male_8.0
female,Salt,8.0,%,-0.2315275569811959,-0.2564540586191673,female_8.0
male,Salt,8.0,%,-0.9068423635740678,-1.0,male_8.0
female,Salt,8.0,%,1.0,,female_8.0
male,Salt,8.0,%,-0.7528864624406025,-0.7530459752681975,male_8.0
female,Salt,8.0,%,0.7402059136594418,0.6212682980418005,female_8.0
male,Salt,8.0,%,-0.2310918781777819,-0.2311422579160059,male_8.0
