structure,compartment,time_s,p_fwer
Bouton,g2,29.25,1.0
Bouton,g2,29.5,1.0
Bouton,g2,29.75,1.0
Bouton,g2,30.0,1.0
Bouton,g2,30.25,1.0
Bouton,g2,30.5,1.0
Bouton,g2,30.75,1.0
Bouton,g2,31.0,1.0
Bouton,g2,31.25,1.0
Bouton,g2,31.5,1.0
Bouton,g2,31.75,1.0
Bouton,g2,32.0,1.0
Bouton,g2,32.25,1.0
Bouton,g2,32.5,1.0
Bouton,g2,32.75,1.0
Bouton,g2,33.0,1.0
Bouton,g2,33.25,1.0
Bouton,g2,33.5,1.0
Bouton,g2,33.75,1.0
Bouton,g2,34.0,1.0
Bouton,g2,34.25,1.0
Bouton,g2,34.5,1.0
Bouton,g2,34.75,1.0
Bouton,g2,35.0,1.0
Bouton,g2,35.25,1.0
Bouton,g2,35.5,1.0
Bouton,g2,35.75,1.0
Bouton,g2,36.0,1.0
Bouton,g2,36.25,1.0
Bouton,g2,36.5,1.0
Bouton,g2,36.75,1.0
Bouton,g2,37.0,1.0
Bouton,g2,37.25,1.0
Bouton,g2,37.5,1.0
Bouton,g2,37.75,1.0
Bouton,g2,38.0,1.0
Bouton,g2,38.25,1.0
Bouton,g2,38.5,1.0
Bouton,g2,38.75,1.0
Bouton,g2,39.0,1.0
Bouton,g2,39.25,1.0
Bouton,g2,39.5,1.0
Bouton,g2,39.75,1.0
Bouton,g2,40.0,1.0
Bouton,g2,40.25,1.0
Bouton,g2,40.5,1.0
Bouton,g2,40.75,1.0
Bouton,g2,41.0,1.0
Bouton,g2,41.25,1.0
Bouton,g2,41.5,1.0
Bouton,g2,41.75,1.0
Bouton,g2,42.0,1.0
Bouton,g2,42.25,1.0
Bouton,g2,42.5,1.0
Bouton,g2,42.75,1.0
Bouton,g2,43.0,1.0
Bouton,g2,43.25,1.0
Bouton,g2,43.5,1.0
Bouton,g2,43.75,1.0
Bouton,g2,44.0,1.0
Bouton,g2,44.25,1.0
Bouton,g2,44.5,1.0
Bouton,g2,44.75,1.0
Bouton,g2,45.0,1.0
Bouton,g2,45.25,1.0
Bouton,g2,45.5,1.0
Bouton,g2,45.75,1.0
Bouton,g2,46.0,1.0
Bouton,g2,46.25,1.0
Bouton,g2,46.5,1.0
Bouton,g2,46.75,1.0
Bouton,g2,47.0,1.0
