genotype,contrast,compartment,time_s,p_fwer
dnc-wt,Bouton_vs_Axon,g2,58.25,1.0
dnc-wt,Bouton_vs_Axon,g2,58.5,1.0
dnc-wt,Bouton_vs_Axon,g2,58.75,1.0
dnc-wt,Bouton_vs_Axon,g2,59.0,1.0
dnc-wt,Bouton_vs_Axon,g2,59.25,1.0
dnc-wt,Bouton_vs_Axon,g2,59.5,1.0
dnc-wt,Bouton_vs_Axon,g2,59.75,1.0
dnc-wt,Bouton_vs_Axon,g2,60.0,1.0
dnc-wt,Bouton_vs_Axon,g2,60.25,1.0
dnc-wt,Bouton_vs_Axon,g2,60.5,1.0
dnc-wt,Bouton_vs_Axon,g2,60.75,1.0
dnc-wt,Bouton_vs_Axon,g2,61.0,1.0
dnc-wt,Bouton_vs_Axon,g2,61.25,1.0
dnc-wt,Bouton_vs_Axon,g2,61.5,1.0
dnc-wt,Bouton_vs_Axon,g2,61.75,1.0
dnc-wt,Bouton_vs_Axon,g2,62.0,1.0
dnc-wt,Bouton_vs_Axon,g2,62.25,0.625
dnc-wt,Bouton_vs_Axon,g2,62.5,1.0
dnc-wt,Bouton_vs_Axon,g2,62.75,1.0
dnc-wt,Bouton_vs_Axon,g2,63.0,0.625
dnc-wt,Bouton_vs_Axon,g2,63.25,1.0
dnc-wt,Bouton_vs_Axon,g2,63.5,1.0
dnc-wt,Bouton_vs_Axon,g2,63.75,1.0
dnc-wt,Bouton_vs_Axon,g2,64.0,1.0
dnc-wt,Bouton_vs_Axon,g2,64.25,1.0
dnc-wt,Bouton_vs_Axon,g2,64.5,1.0
dnc-wt,Bouton_vs_Axon,g2,64.75,1.0
dnc-wt,Bouton_vs_Axon,g2,65.0,1.0
dnc-wt,Bouton_vs_Axon,g2,65.25,1.0
dnc-wt,Bouton_vs_Axon,g2,65.5,1.0
dnc-wt,Bouton_vs_Axon,g2,65.75,1.0
dnc-wt,Bouton_vs_Axon,g2,66.0,1.0
dnc-wt,Bouton_vs_Axon,g2,66.25,1.0
dnc-wt,Bouton_vs_Axon,g2,66.5,1.0
dnc-wt,Bouton_vs_Axon,g2,66.75,1.0
dnc-wt,Bouton_vs_Axon,g2,67.0,0.125
dnc-wt,Bouton_vs_Axon,g2,67.25,0.125
dnc-wt,Bouton_vs_Axon,g2,67.5,1.0
dnc-wt,Bouton_vs_Axon,g2,67.75,1.0
dnc-wt,Bouton_vs_Axon,g2,68.0,1.0
dnc-wt,Bouton_vs_Axon,g2,68.25,1.0
dnc-wt,Bouton_vs_Axon,g2,68.5,1.0
dnc-wt,Bouton_vs_Axon,g2,68.75,1.0
dnc-wt,Bouton_vs_Axon,g2,69.0,1.0
dnc-wt,Bouton_vs_Axon,g2,69.25,1.0
dnc-wt,Bouton_vs_Axon,g2,69.5,1.0
dnc-wt,Bouton_vs_Axon,g2,69.75,1.0
dnc-wt,Bouton_vs_Axon,g2,70.0,1.0
dnc-wt,Bouton_vs_Axon,g2,70.25,1.0
dnc-wt,Bouton_vs_Axon,g2,70.5,1.0
dnc-wt,Bouton_vs_Axon,g2,70.75,1.0
dnc-wt,Bouton_vs_Axon,g2,71.0,1.0
dnc-wt,Bouton_vs_Axon,g2,71.25,1.0
dnc-wt,Bouton_vs_Axon,g2,71.5,1.0
dnc-wt,Bouton_vs_Axon,g2,71.75,1.0
dnc-wt,Bouton_vs_Axon,g2,72.0,1.0
dnc-wt,Bouton_vs_Axon,g2,72.25,1.0
dnc-wt,Bouton_vs_Axon,g2,72.5,1.0
dnc-wt,Bouton_vs_Axon,g2,72.75,1.0
dnc-wt,Bouton_vs_Axon,g2,73.0,0.875
